,County_of_Origin,Period,AgeClassDescription,unemployed_number
1721,arcos de valdevez,Sep-19 to Feb-20,55-64,169
1722,arganil,Sep-19 to Feb-20,55-64,124
1723,armamar,Sep-19 to Feb-20,55-64,77
1724,arouca,Sep-19 to Feb-20,55-64,177
1725,arraiolos,Sep-19 to Feb-20,55-64,21
1726,arronches,Sep-19 to Feb-20,55-64,19
1727,arruda dos vinhos,Sep-19 to Feb-20,55-64,58
1728,aveiro,Sep-19 to Feb-20,55-64,649
1729,avis,Sep-19 to Feb-20,55-64,29
1730,azambuja,Sep-19 to Feb-20,55-64,94
1731,baião,Sep-19 to Feb-20,55-64,297
1732,barcelos,Sep-19 to Feb-20,55-64,718
1733,barrancos,Sep-19 to Feb-20,55-64,17
1734,barreiro,Sep-19 to Feb-20,55-64,756
1735,batalha,Sep-19 to Feb-20,55-64,67
1736,beja,Sep-19 to Feb-20,55-64,215
1737,belmonte,Sep-19 to Feb-20,55-64,67
1738,benavente,Sep-19 to Feb-20,55-64,233
1739,bombarral,Sep-19 to Feb-20,55-64,73
1740,borba,Sep-19 to Feb-20,55-64,39
1741,boticas,Sep-19 to Feb-20,55-64,35
1742,braga,Sep-19 to Feb-20,55-64,1733
1743,bragança,Sep-19 to Feb-20,55-64,179
1744,cabeceiras de basto,Sep-19 to Feb-20,55-64,208
1745,cadaval,Sep-19 to Feb-20,55-64,66
1746,caldas da rainha,Sep-19 to Feb-20,55-64,293
1747,caminha,Sep-19 to Feb-20,55-64,102
1748,campo maior,Sep-19 to Feb-20,55-64,92
1749,cantanhede,Sep-19 to Feb-20,55-64,214
1750,carrazeda de ansiães,Sep-19 to Feb-20,55-64,36
1751,carregal do sal,Sep-19 to Feb-20,55-64,70
1752,cartaxo,Sep-19 to Feb-20,55-64,108
1753,cascais,Sep-19 to Feb-20,55-64,1785
1754,castanheira de pera,Sep-19 to Feb-20,55-64,28
1755,castelo branco,Sep-19 to Feb-20,55-64,425
1756,castelo de paiva,Sep-19 to Feb-20,55-64,181
1757,castelo de vide,Sep-19 to Feb-20,55-64,18
1758,castro daire,Sep-19 to Feb-20,55-64,172
1759,castro marim,Sep-19 to Feb-20,55-64,33
1760,castro verde,Sep-19 to Feb-20,55-64,37
1761,celorico da beira,Sep-19 to Feb-20,55-64,54
1762,celorico de basto,Sep-19 to Feb-20,55-64,253
1763,centro,Sep-19 to Feb-20,55-64,11624
1764,chamusca,Sep-19 to Feb-20,55-64,57
1765,chaves,Sep-19 to Feb-20,55-64,499
1766,cinfães,Sep-19 to Feb-20,55-64,269
1767,coimbra,Sep-19 to Feb-20,55-64,875
1768,condeixa-a-nova,Sep-19 to Feb-20,55-64,81
1769,constância,Sep-19 to Feb-20,55-64,24
1770,coruche,Sep-19 to Feb-20,55-64,180
1771,covilhã,Sep-19 to Feb-20,55-64,470
1772,crato,Sep-19 to Feb-20,55-64,27
1773,cuba,Sep-19 to Feb-20,55-64,30
1774,elvas,Sep-19 to Feb-20,55-64,212
1775,entroncamento,Sep-19 to Feb-20,55-64,77
1776,espinho,Sep-19 to Feb-20,55-64,446
1777,esposende,Sep-19 to Feb-20,55-64,202
1778,estarreja,Sep-19 to Feb-20,55-64,200
1779,estremoz,Sep-19 to Feb-20,55-64,60
1780,fafe,Sep-19 to Feb-20,55-64,695
1781,faro,Sep-19 to Feb-20,55-64,288
1782,felgueiras,Sep-19 to Feb-20,55-64,649
1783,ferreira do alentejo,Sep-19 to Feb-20,55-64,57
1784,ferreira do zêzere,Sep-19 to Feb-20,55-64,30
1785,figueira da foz,Sep-19 to Feb-20,55-64,556
1786,figueira de castelo rodrigo,Sep-19 to Feb-20,55-64,32
1787,figueiró dos vinhos,Sep-19 to Feb-20,55-64,54
1788,fornos de algodres,Sep-19 to Feb-20,55-64,42
1789,freixo espada à cinta,Sep-19 to Feb-20,55-64,34
1790,fronteira,Sep-19 to Feb-20,55-64,34
1791,fundão,Sep-19 to Feb-20,55-64,283
1792,gavião,Sep-19 to Feb-20,55-64,17
1793,golegã,Sep-19 to Feb-20,55-64,21
1794,gondomar,Sep-19 to Feb-20,55-64,1591
1795,gouveia,Sep-19 to Feb-20,55-64,96
1796,grândola,Sep-19 to Feb-20,55-64,88
1797,guarda,Sep-19 to Feb-20,55-64,307
1798,guimarães,Sep-19 to Feb-20,55-64,2188
1799,góis,Sep-19 to Feb-20,55-64,34
1800,idanha-a-nova,Sep-19 to Feb-20,55-64,106
1801,lagoa,Sep-19 to Feb-20,55-64,239
1802,lagos,Sep-19 to Feb-20,55-64,263
1803,lamego,Sep-19 to Feb-20,55-64,518
1804,leiria,Sep-19 to Feb-20,55-64,613
1805,lisboa,Sep-19 to Feb-20,55-64,4347
1806,lisboa vt,Sep-19 to Feb-20,55-64,24693
1807,loulé,Sep-19 to Feb-20,55-64,519
1808,loures,Sep-19 to Feb-20,55-64,1466
1809,lourinhã,Sep-19 to Feb-20,55-64,125
1810,lousada,Sep-19 to Feb-20,55-64,495
1811,lousã,Sep-19 to Feb-20,55-64,113
1812,macedo de cavaleiros,Sep-19 to Feb-20,55-64,138
1813,mafra,Sep-19 to Feb-20,55-64,348
1814,maia,Sep-19 to Feb-20,55-64,1189
1815,mangualde,Sep-19 to Feb-20,55-64,188
1816,manteigas,Sep-19 to Feb-20,55-64,18
1817,marco de canaveses,Sep-19 to Feb-20,55-64,701
1818,marinha grande,Sep-19 to Feb-20,55-64,250
1819,marvão,Sep-19 to Feb-20,55-64,15
1820,matosinhos,Sep-19 to Feb-20,55-64,2367
1821,mação,Sep-19 to Feb-20,55-64,44
1822,mealhada,Sep-19 to Feb-20,55-64,88
1823,meda,Sep-19 to Feb-20,55-64,12
1824,melgaço,Sep-19 to Feb-20,55-64,29
1825,mesão frio,Sep-19 to Feb-20,55-64,94
1826,mira,Sep-19 to Feb-20,55-64,96
1827,miranda do corvo,Sep-19 to Feb-20,55-64,64
1828,miranda do douro,Sep-19 to Feb-20,55-64,40
1829,mirandela,Sep-19 to Feb-20,55-64,248
1830,mogadouro,Sep-19 to Feb-20,55-64,102
1831,moimenta da beira,Sep-19 to Feb-20,55-64,213
1832,moita,Sep-19 to Feb-20,55-64,621
1833,monchique,Sep-19 to Feb-20,55-64,66
1834,mondim de basto,Sep-19 to Feb-20,55-64,86
1835,monforte,Sep-19 to Feb-20,55-64,28
1836,montalegre,Sep-19 to Feb-20,55-64,103
1837,montemor-o-novo,Sep-19 to Feb-20,55-64,60
1838,montemor-o-velho,Sep-19 to Feb-20,55-64,150
1839,montijo,Sep-19 to Feb-20,55-64,421
1840,monção,Sep-19 to Feb-20,55-64,109
1841,mora,Sep-19 to Feb-20,55-64,16
1842,mortágua,Sep-19 to Feb-20,55-64,41
1843,moura,Sep-19 to Feb-20,55-64,198
1844,mourão,Sep-19 to Feb-20,55-64,29
1845,murtosa,Sep-19 to Feb-20,55-64,56
1846,murça,Sep-19 to Feb-20,55-64,121
1847,mértola,Sep-19 to Feb-20,55-64,64
1848,nazaré,Sep-19 to Feb-20,55-64,93
1849,nelas,Sep-19 to Feb-20,55-64,101
1850,nisa,Sep-19 to Feb-20,55-64,49
1851,norte,Sep-19 to Feb-20,55-64,40379
1852,odemira,Sep-19 to Feb-20,55-64,236
1853,odivelas,Sep-19 to Feb-20,55-64,713
1854,oeiras,Sep-19 to Feb-20,55-64,1086
1855,oleiros,Sep-19 to Feb-20,55-64,37
1856,olhão,Sep-19 to Feb-20,55-64,218
1857,oliveira de azeméis,Sep-19 to Feb-20,55-64,366
1858,oliveira de frades,Sep-19 to Feb-20,55-64,102
1859,oliveira do bairro,Sep-19 to Feb-20,55-64,109
1860,oliveira do hospital,Sep-19 to Feb-20,55-64,157
1861,ourique,Sep-19 to Feb-20,55-64,38
1862,ourém,Sep-19 to Feb-20,55-64,160
1863,ovar,Sep-19 to Feb-20,55-64,486
1864,palmela,Sep-19 to Feb-20,55-64,441
1865,pampilhosa da serra,Sep-19 to Feb-20,55-64,45
1866,paredes,Sep-19 to Feb-20,55-64,1026
1867,paredes de coura,Sep-19 to Feb-20,55-64,64
1868,paços de ferreira,Sep-19 to Feb-20,55-64,658
1869,pedrógão grande,Sep-19 to Feb-20,55-64,33
1870,penacova,Sep-19 to Feb-20,55-64,69
1871,penafiel,Sep-19 to Feb-20,55-64,675
1872,penalva do castelo,Sep-19 to Feb-20,55-64,67
1873,penamacor,Sep-19 to Feb-20,55-64,45
1874,penedono,Sep-19 to Feb-20,55-64,24
1875,penela,Sep-19 to Feb-20,55-64,31
1876,peniche,Sep-19 to Feb-20,55-64,167
1877,peso da régua,Sep-19 to Feb-20,55-64,328
1878,pinhel,Sep-19 to Feb-20,55-64,33
1879,pombal,Sep-19 to Feb-20,55-64,268
1880,ponte da barca,Sep-19 to Feb-20,55-64,73
1881,ponte de lima,Sep-19 to Feb-20,55-64,179
1882,ponte de sôr,Sep-19 to Feb-20,55-64,98
1883,portalegre,Sep-19 to Feb-20,55-64,118
1884,portel,Sep-19 to Feb-20,55-64,47
1885,portimão,Sep-19 to Feb-20,55-64,611
1886,porto,Sep-19 to Feb-20,55-64,3143
1887,porto de mós,Sep-19 to Feb-20,55-64,117
1888,proença-a-nova,Sep-19 to Feb-20,55-64,59
1889,póvoa de lanhoso,Sep-19 to Feb-20,55-64,264
1890,póvoa de varzim,Sep-19 to Feb-20,55-64,630
1891,redondo,Sep-19 to Feb-20,55-64,50
1892,reguengos de monsaraz,Sep-19 to Feb-20,55-64,83
1893,resende,Sep-19 to Feb-20,55-64,144
1894,ribeira de pena,Sep-19 to Feb-20,55-64,121
1895,rio maior,Sep-19 to Feb-20,55-64,64
1896,sabrosa,Sep-19 to Feb-20,55-64,89
1897,sabugal,Sep-19 to Feb-20,55-64,62
1898,salvaterra de magos,Sep-19 to Feb-20,55-64,228
1899,santa comba dão,Sep-19 to Feb-20,55-64,82
1900,santa maria da feira,Sep-19 to Feb-20,55-64,1461
1901,santa marta de penaguião,Sep-19 to Feb-20,55-64,164
1902,santarém,Sep-19 to Feb-20,55-64,256
1903,santiago do cacém,Sep-19 to Feb-20,55-64,219
1904,santo tirso,Sep-19 to Feb-20,55-64,1003
1905,sardoal,Sep-19 to Feb-20,55-64,38
1906,seia,Sep-19 to Feb-20,55-64,176
1907,seixal,Sep-19 to Feb-20,55-64,1047
1908,sernancelhe,Sep-19 to Feb-20,55-64,56
1909,serpa,Sep-19 to Feb-20,55-64,136
1910,sertã,Sep-19 to Feb-20,55-64,85
1911,sesimbra,Sep-19 to Feb-20,55-64,277
1912,setúbal,Sep-19 to Feb-20,55-64,1010
1913,sever do vouga,Sep-19 to Feb-20,55-64,74
1914,silves,Sep-19 to Feb-20,55-64,262
1915,sines,Sep-19 to Feb-20,55-64,128
1916,sintra,Sep-19 to Feb-20,55-64,2425
1917,sobral monte agraço,Sep-19 to Feb-20,55-64,34
1918,soure,Sep-19 to Feb-20,55-64,131
1919,sousel,Sep-19 to Feb-20,55-64,38
1920,sátão,Sep-19 to Feb-20,55-64,137
1921,são brás de alportel,Sep-19 to Feb-20,55-64,38
1922,são joão da madeira,Sep-19 to Feb-20,55-64,194
1923,são joão da pesqueira,Sep-19 to Feb-20,55-64,54
1924,são pedro do sul,Sep-19 to Feb-20,55-64,157
1925,tabuaço,Sep-19 to Feb-20,55-64,130
1926,tarouca,Sep-19 to Feb-20,55-64,161
1927,tavira,Sep-19 to Feb-20,55-64,154
1928,terras de bouro,Sep-19 to Feb-20,55-64,86
1929,tomar,Sep-19 to Feb-20,55-64,192
1930,tondela,Sep-19 to Feb-20,55-64,138
1931,torre de moncorvo,Sep-19 to Feb-20,55-64,110
1932,torres novas,Sep-19 to Feb-20,55-64,154
1933,torres vedras,Sep-19 to Feb-20,55-64,480
1934,trancoso,Sep-19 to Feb-20,55-64,34
1935,trofa,Sep-19 to Feb-20,55-64,410
1936,tábua,Sep-19 to Feb-20,55-64,101
1937,vagos,Sep-19 to Feb-20,55-64,122
1938,vale de cambra,Sep-19 to Feb-20,55-64,133
1939,valença,Sep-19 to Feb-20,55-64,112
1940,valongo,Sep-19 to Feb-20,55-64,1163
1941,valpaços,Sep-19 to Feb-20,55-64,145
1942,vendas novas,Sep-19 to Feb-20,55-64,37
1943,viana do alentejo,Sep-19 to Feb-20,55-64,33
1944,viana do castelo,Sep-19 to Feb-20,55-64,548
1945,vidigueira,Sep-19 to Feb-20,55-64,58
1946,vieira do minho,Sep-19 to Feb-20,55-64,216
1947,vila de rei,Sep-19 to Feb-20,55-64,13
1948,vila do bispo,Sep-19 to Feb-20,55-64,43
1949,vila do conde,Sep-19 to Feb-20,55-64,673
1950,vila flor,Sep-19 to Feb-20,55-64,65
1951,vila franca de xira,Sep-19 to Feb-20,55-64,816
1952,vila nova da barquinha,Sep-19 to Feb-20,55-64,24
1953,vila nova de cerveira,Sep-19 to Feb-20,55-64,58
1954,vila nova de famalicão,Sep-19 to Feb-20,55-64,1059
1955,vila nova de foz côa,Sep-19 to Feb-20,55-64,53
1956,vila nova de gaia,Sep-19 to Feb-20,55-64,4459
1957,vila nova de paiva,Sep-19 to Feb-20,55-64,62
1958,vila nova de poiares,Sep-19 to Feb-20,55-64,54
1959,vila pouca de aguiar,Sep-19 to Feb-20,55-64,154
1960,vila real,Sep-19 to Feb-20,55-64,697
1961,vila real de santo antónio,Sep-19 to Feb-20,55-64,159
1962,vila velha de rodão,Sep-19 to Feb-20,55-64,24
1963,vila verde,Sep-19 to Feb-20,55-64,314
1964,vila viçosa,Sep-19 to Feb-20,55-64,40
1965,vimioso,Sep-19 to Feb-20,55-64,34
1966,vinhais,Sep-19 to Feb-20,55-64,94
1967,viseu,Sep-19 to Feb-20,55-64,719
1968,vizela,Sep-19 to Feb-20,55-64,353
1969,vouzela,Sep-19 to Feb-20,55-64,88
1970,águeda,Sep-19 to Feb-20,55-64,222
1971,évora,Sep-19 to Feb-20,55-64,296
1972,ílhavo,Sep-19 to Feb-20,55-64,321
1973,óbidos,Sep-19 to Feb-20,55-64,57
1974,abrantes,Sep-20 to Jan-21,55-64,371
1975,aguiar da beira,Sep-20 to Jan-21,55-64,51
1976,alandroal,Sep-20 to Jan-21,55-64,39
1977,albergaria-a-velha,Sep-20 to Jan-21,55-64,138
1978,albufeira,Sep-20 to Jan-21,55-64,835
1979,alcanena,Sep-20 to Jan-21,55-64,61
1980,alcobaça,Sep-20 to Jan-21,55-64,367
1981,alcochete,Sep-20 to Jan-21,55-64,121
1982,alcoutim,Sep-20 to Jan-21,55-64,5
1983,alcácer do sal,Sep-20 to Jan-21,55-64,66
1984,alenquer,Sep-20 to Jan-21,55-64,303
1985,alentejo,Sep-20 to Jan-21,55-64,3839
1986,alfândega da fé,Sep-20 to Jan-21,55-64,58
1987,alijó,Sep-20 to Jan-21,55-64,217
1988,aljezur,Sep-20 to Jan-21,55-64,43
1989,aljustrel,Sep-20 to Jan-21,55-64,68
1990,almada,Sep-20 to Jan-21,55-64,1337
1991,almeida,Sep-20 to Jan-21,55-64,55
1992,almeirim,Sep-20 to Jan-21,55-64,152
1993,almodôvar,Sep-20 to Jan-21,55-64,64
1994,alpiarça,Sep-20 to Jan-21,55-64,54
1995,alter do chão,Sep-20 to Jan-21,55-64,29
1996,alvaiázere,Sep-20 to Jan-21,55-64,39
1997,alvito,Sep-20 to Jan-21,55-64,13
1998,amadora,Sep-20 to Jan-21,55-64,1246
1999,amarante,Sep-20 to Jan-21,55-64,841
2000,amares,Sep-20 to Jan-21,55-64,153
2001,anadia,Sep-20 to Jan-21,55-64,158
2002,ansião,Sep-20 to Jan-21,55-64,74
2003,arcos de valdevez,Sep-20 to Jan-21,55-64,162
2004,arganil,Sep-20 to Jan-21,55-64,129
2005,armamar,Sep-20 to Jan-21,55-64,84
2006,arouca,Sep-20 to Jan-21,55-64,211
2007,arraiolos,Sep-20 to Jan-21,55-64,37
2008,arronches,Sep-20 to Jan-21,55-64,19
2009,arruda dos vinhos,Sep-20 to Jan-21,55-64,72
2010,aveiro,Sep-20 to Jan-21,55-64,727
2011,avis,Sep-20 to Jan-21,55-64,32
2012,azambuja,Sep-20 to Jan-21,55-64,131
2013,baião,Sep-20 to Jan-21,55-64,346
2014,barcelos,Sep-20 to Jan-21,55-64,831
2015,barrancos,Sep-20 to Jan-21,55-64,16
2016,barreiro,Sep-20 to Jan-21,55-64,820
2017,batalha,Sep-20 to Jan-21,55-64,86
2018,beja,Sep-20 to Jan-21,55-64,227
2019,belmonte,Sep-20 to Jan-21,55-64,75
2020,benavente,Sep-20 to Jan-21,55-64,243
2021,bombarral,Sep-20 to Jan-21,55-64,97
2022,borba,Sep-20 to Jan-21,55-64,45
2023,boticas,Sep-20 to Jan-21,55-64,33
2024,braga,Sep-20 to Jan-21,55-64,1823
2025,bragança,Sep-20 to Jan-21,55-64,181
2026,cabeceiras de basto,Sep-20 to Jan-21,55-64,214
2027,cadaval,Sep-20 to Jan-21,55-64,93
2028,caldas da rainha,Sep-20 to Jan-21,55-64,377
2029,caminha,Sep-20 to Jan-21,55-64,121
2030,campo maior,Sep-20 to Jan-21,55-64,100
2031,cantanhede,Sep-20 to Jan-21,55-64,246
2032,carrazeda de ansiães,Sep-20 to Jan-21,55-64,40
2033,carregal do sal,Sep-20 to Jan-21,55-64,88
2034,cartaxo,Sep-20 to Jan-21,55-64,129
2035,cascais,Sep-20 to Jan-21,55-64,1947
2036,castanheira de pera,Sep-20 to Jan-21,55-64,20
2037,castelo branco,Sep-20 to Jan-21,55-64,476
2038,castelo de paiva,Sep-20 to Jan-21,55-64,234
2039,castelo de vide,Sep-20 to Jan-21,55-64,17
2040,castro daire,Sep-20 to Jan-21,55-64,173
2041,castro marim,Sep-20 to Jan-21,55-64,53
2042,castro verde,Sep-20 to Jan-21,55-64,60
2043,celorico da beira,Sep-20 to Jan-21,55-64,58
2044,celorico de basto,Sep-20 to Jan-21,55-64,294
2045,centro,Sep-20 to Jan-21,55-64,12916
2046,chamusca,Sep-20 to Jan-21,55-64,56
2047,chaves,Sep-20 to Jan-21,55-64,521
2048,cinfães,Sep-20 to Jan-21,55-64,323
2049,coimbra,Sep-20 to Jan-21,55-64,994
2050,condeixa-a-nova,Sep-20 to Jan-21,55-64,84
2051,constância,Sep-20 to Jan-21,55-64,26
2052,coruche,Sep-20 to Jan-21,55-64,194
2053,covilhã,Sep-20 to Jan-21,55-64,477
2054,crato,Sep-20 to Jan-21,55-64,30
2055,cuba,Sep-20 to Jan-21,55-64,30
2056,elvas,Sep-20 to Jan-21,55-64,210
2057,entroncamento,Sep-20 to Jan-21,55-64,91
2058,espinho,Sep-20 to Jan-21,55-64,477
2059,esposende,Sep-20 to Jan-21,55-64,218
2060,estarreja,Sep-20 to Jan-21,55-64,227
2061,estremoz,Sep-20 to Jan-21,55-64,67
2062,fafe,Sep-20 to Jan-21,55-64,734
2063,faro,Sep-20 to Jan-21,55-64,428
2064,felgueiras,Sep-20 to Jan-21,55-64,831
2065,ferreira do alentejo,Sep-20 to Jan-21,55-64,60
2066,ferreira do zêzere,Sep-20 to Jan-21,55-64,25
2067,figueira da foz,Sep-20 to Jan-21,55-64,630
2068,figueira de castelo rodrigo,Sep-20 to Jan-21,55-64,41
2069,figueiró dos vinhos,Sep-20 to Jan-21,55-64,52
2070,fornos de algodres,Sep-20 to Jan-21,55-64,31
2071,freixo espada à cinta,Sep-20 to Jan-21,55-64,39
2072,fronteira,Sep-20 to Jan-21,55-64,25
2073,fundão,Sep-20 to Jan-21,55-64,276
2074,gavião,Sep-20 to Jan-21,55-64,13
2075,golegã,Sep-20 to Jan-21,55-64,16
2076,gondomar,Sep-20 to Jan-21,55-64,1914
2077,gouveia,Sep-20 to Jan-21,55-64,89
2078,grândola,Sep-20 to Jan-21,55-64,92
2079,guarda,Sep-20 to Jan-21,55-64,322
2080,guimarães,Sep-20 to Jan-21,55-64,2361
2081,góis,Sep-20 to Jan-21,55-64,36
2082,idanha-a-nova,Sep-20 to Jan-21,55-64,93
2083,lagoa,Sep-20 to Jan-21,55-64,343
2084,lagos,Sep-20 to Jan-21,55-64,404
2085,lamego,Sep-20 to Jan-21,55-64,523
2086,leiria,Sep-20 to Jan-21,55-64,773
2087,lisboa,Sep-20 to Jan-21,55-64,4534
2088,lisboa vt,Sep-20 to Jan-21,55-64,28447
2089,loulé,Sep-20 to Jan-21,55-64,796
2090,loures,Sep-20 to Jan-21,55-64,1797
2091,lourinhã,Sep-20 to Jan-21,55-64,187
2092,lousada,Sep-20 to Jan-21,55-64,561
2093,lousã,Sep-20 to Jan-21,55-64,135
2094,macedo de cavaleiros,Sep-20 to Jan-21,55-64,137
2095,mafra,Sep-20 to Jan-21,55-64,464
2096,maia,Sep-20 to Jan-21,55-64,1396
2097,mangualde,Sep-20 to Jan-21,55-64,201
2098,manteigas,Sep-20 to Jan-21,55-64,20
2099,marco de canaveses,Sep-20 to Jan-21,55-64,864
2100,marinha grande,Sep-20 to Jan-21,55-64,310
2101,marvão,Sep-20 to Jan-21,55-64,17
2102,matosinhos,Sep-20 to Jan-21,55-64,2625
2103,mação,Sep-20 to Jan-21,55-64,41
2104,mealhada,Sep-20 to Jan-21,55-64,117
2105,meda,Sep-20 to Jan-21,55-64,16
2106,melgaço,Sep-20 to Jan-21,55-64,28
2107,mesão frio,Sep-20 to Jan-21,55-64,98
2108,mira,Sep-20 to Jan-21,55-64,71
2109,miranda do corvo,Sep-20 to Jan-21,55-64,73
2110,miranda do douro,Sep-20 to Jan-21,55-64,43
2111,mirandela,Sep-20 to Jan-21,55-64,225
2112,mogadouro,Sep-20 to Jan-21,55-64,89
2113,moimenta da beira,Sep-20 to Jan-21,55-64,218
2114,moita,Sep-20 to Jan-21,55-64,684
2115,monchique,Sep-20 to Jan-21,55-64,69
2116,mondim de basto,Sep-20 to Jan-21,55-64,93
2117,monforte,Sep-20 to Jan-21,55-64,28
2118,montalegre,Sep-20 to Jan-21,55-64,104
2119,montemor-o-novo,Sep-20 to Jan-21,55-64,69
2120,montemor-o-velho,Sep-20 to Jan-21,55-64,150
2121,montijo,Sep-20 to Jan-21,55-64,484
2122,monção,Sep-20 to Jan-21,55-64,115
2123,mora,Sep-20 to Jan-21,55-64,23
2124,mortágua,Sep-20 to Jan-21,55-64,39
2125,moura,Sep-20 to Jan-21,55-64,192
2126,mourão,Sep-20 to Jan-21,55-64,26
2127,murtosa,Sep-20 to Jan-21,55-64,58
2128,murça,Sep-20 to Jan-21,55-64,133
2129,mértola,Sep-20 to Jan-21,55-64,78
2130,nazaré,Sep-20 to Jan-21,55-64,117
2131,nelas,Sep-20 to Jan-21,55-64,132
2132,nisa,Sep-20 to Jan-21,55-64,48
2133,norte,Sep-20 to Jan-21,55-64,44908
2134,odemira,Sep-20 to Jan-21,55-64,291
2135,odivelas,Sep-20 to Jan-21,55-64,985
2136,oeiras,Sep-20 to Jan-21,55-64,1284
2137,oleiros,Sep-20 to Jan-21,55-64,29
2138,olhão,Sep-20 to Jan-21,55-64,329
2139,oliveira de azeméis,Sep-20 to Jan-21,55-64,535
2140,oliveira de frades,Sep-20 to Jan-21,55-64,104
2141,oliveira do bairro,Sep-20 to Jan-21,55-64,126
2142,oliveira do hospital,Sep-20 to Jan-21,55-64,163
2143,ourique,Sep-20 to Jan-21,55-64,44
2144,ourém,Sep-20 to Jan-21,55-64,186
2145,ovar,Sep-20 to Jan-21,55-64,571
2146,palmela,Sep-20 to Jan-21,55-64,496
2147,pampilhosa da serra,Sep-20 to Jan-21,55-64,35
2148,paredes,Sep-20 to Jan-21,55-64,1136
2149,paredes de coura,Sep-20 to Jan-21,55-64,84
2150,paços de ferreira,Sep-20 to Jan-21,55-64,704
2151,pedrógão grande,Sep-20 to Jan-21,55-64,39
2152,penacova,Sep-20 to Jan-21,55-64,82
2153,penafiel,Sep-20 to Jan-21,55-64,767
2154,penalva do castelo,Sep-20 to Jan-21,55-64,78
2155,penamacor,Sep-20 to Jan-21,55-64,45
2156,penedono,Sep-20 to Jan-21,55-64,23
2157,penela,Sep-20 to Jan-21,55-64,29
2158,peniche,Sep-20 to Jan-21,55-64,222
2159,peso da régua,Sep-20 to Jan-21,55-64,319
2160,pinhel,Sep-20 to Jan-21,55-64,40
2161,pombal,Sep-20 to Jan-21,55-64,293
2162,ponte da barca,Sep-20 to Jan-21,55-64,62
2163,ponte de lima,Sep-20 to Jan-21,55-64,220
2164,ponte de sôr,Sep-20 to Jan-21,55-64,83
2165,portalegre,Sep-20 to Jan-21,55-64,138
2166,portel,Sep-20 to Jan-21,55-64,64
2167,portimão,Sep-20 to Jan-21,55-64,921
2168,porto,Sep-20 to Jan-21,55-64,3400
2169,porto de mós,Sep-20 to Jan-21,55-64,134
2170,proença-a-nova,Sep-20 to Jan-21,55-64,59
2171,póvoa de lanhoso,Sep-20 to Jan-21,55-64,270
2172,póvoa de varzim,Sep-20 to Jan-21,55-64,701
2173,redondo,Sep-20 to Jan-21,55-64,58
2174,reguengos de monsaraz,Sep-20 to Jan-21,55-64,100
2175,resende,Sep-20 to Jan-21,55-64,141
2176,ribeira de pena,Sep-20 to Jan-21,55-64,120
2177,rio maior,Sep-20 to Jan-21,55-64,78
2178,sabrosa,Sep-20 to Jan-21,55-64,89
2179,sabugal,Sep-20 to Jan-21,55-64,72
2180,salvaterra de magos,Sep-20 to Jan-21,55-64,215
2181,santa comba dão,Sep-20 to Jan-21,55-64,93
2182,santa maria da feira,Sep-20 to Jan-21,55-64,1700
2183,santa marta de penaguião,Sep-20 to Jan-21,55-64,157
2184,santarém,Sep-20 to Jan-21,55-64,301
2185,santiago do cacém,Sep-20 to Jan-21,55-64,259
2186,santo tirso,Sep-20 to Jan-21,55-64,1042
2187,sardoal,Sep-20 to Jan-21,55-64,40
2188,seia,Sep-20 to Jan-21,55-64,185
2189,seixal,Sep-20 to Jan-21,55-64,1231
2190,sernancelhe,Sep-20 to Jan-21,55-64,68
2191,serpa,Sep-20 to Jan-21,55-64,148
2192,sertã,Sep-20 to Jan-21,55-64,112
2193,sesimbra,Sep-20 to Jan-21,55-64,313
2194,setúbal,Sep-20 to Jan-21,55-64,1079
2195,sever do vouga,Sep-20 to Jan-21,55-64,64
2196,silves,Sep-20 to Jan-21,55-64,414
2197,sines,Sep-20 to Jan-21,55-64,181
2198,sintra,Sep-20 to Jan-21,55-64,3095
2199,sobral monte agraço,Sep-20 to Jan-21,55-64,51
2200,soure,Sep-20 to Jan-21,55-64,144
2201,sousel,Sep-20 to Jan-21,55-64,42
2202,sátão,Sep-20 to Jan-21,55-64,116
2203,são brás de alportel,Sep-20 to Jan-21,55-64,53
2204,são joão da madeira,Sep-20 to Jan-21,55-64,267
2205,são joão da pesqueira,Sep-20 to Jan-21,55-64,60
2206,são pedro do sul,Sep-20 to Jan-21,55-64,195
2207,tabuaço,Sep-20 to Jan-21,55-64,120
2208,tarouca,Sep-20 to Jan-21,55-64,149
2209,tavira,Sep-20 to Jan-21,55-64,203
2210,terras de bouro,Sep-20 to Jan-21,55-64,87
2211,tomar,Sep-20 to Jan-21,55-64,210
2212,tondela,Sep-20 to Jan-21,55-64,172
2213,torre de moncorvo,Sep-20 to Jan-21,55-64,122
2214,torres novas,Sep-20 to Jan-21,55-64,191
2215,torres vedras,Sep-20 to Jan-21,55-64,543
2216,trancoso,Sep-20 to Jan-21,55-64,31
2217,trofa,Sep-20 to Jan-21,55-64,423
2218,tábua,Sep-20 to Jan-21,55-64,127
2219,vagos,Sep-20 to Jan-21,55-64,151
2220,vale de cambra,Sep-20 to Jan-21,55-64,146
2221,valença,Sep-20 to Jan-21,55-64,135
2222,valongo,Sep-20 to Jan-21,55-64,1245
2223,valpaços,Sep-20 to Jan-21,55-64,163
2224,vendas novas,Sep-20 to Jan-21,55-64,49
